17-Aug-09,40041,1026.13
10-Aug-09,40034,1004.09
3-Aug-09,40027,1010.48
27-Jul-09,40020,987.48
20-Jul-09,40013,979.26
13-Jul-09,40006,940.38
6-Jul-09,39999,879.13
29-Jun-09,39992,896.42
22-Jun-09,39985,918.90
15-Jun-09,39978,921.23
8-Jun-09,39971,946.21
1-Jun-09,39964,940.09
25-May-09,39957,919.14
18-May-09,39950,887.00
11-May-09,39943,882.88
4-May-09,39936,929.23
27-Apr-09,39929,877.52
20-Apr-09,39922,866.23
13-Apr-09,39915,869.60
6-Apr-09,39908,856.56
30-Mar-09,39901,842.50
23-Mar-09,39894,815.94
16-Mar-09,39887,768.54
9-Mar-09,39880,756.55
2-Mar-09,39873,683.38
23-Feb-09,39866,735.09
16-Feb-09,39859,770.05
9-Feb-09,39852,826.84
2-Feb-09,39845,868.60
26-Jan-09,39838,825.88
19-Jan-09,39831,831.95
12-Jan-09,39824,850.12
5-Jan-09,39817,890.35
29-Dec-08,39810,931.80
22-Dec-08,39803,872.80
15-Dec-08,39796,887.88
8-Dec-08,39789,879.73
1-Dec-08,39782,876.07
24-Nov-08,39775,896.24
17-Nov-08,39768,800.03
10-Nov-08,39761,873.29
3-Nov-08,39754,930.99
27-Oct-08,39747,968.75
20-Oct-08,39740,876.77
13-Oct-08,39733,940.55
6-Oct-08,39726,899.22
29-Sep-08,39719,1099.23
22-Sep-08,39712,1213.27
15-Sep-08,39705,1255.08
8-Sep-08,39698,1251.70
1-Sep-08,39691,1242.31
25-Aug-08,39684,1282.83
18-Aug-08,39677,1292.20
11-Aug-08,39670,1298.20
4-Aug-08,39663,1296.32
28-Jul-08,39656,1260.31
21-Jul-08,39649,1257.76
14-Jul-08,39642,1260.68
7-Jul-08,39635,1239.49
30-Jun-08,39628,1262.90
23-Jun-08,39621,1278.38
16-Jun-08,39614,1317.93
9-Jun-08,39607,1360.03
2-Jun-08,39600,1360.68
26-May-08,39593,1400.38
19-May-08,39586,1375.93
12-May-08,39579,1425.35
5-May-08,39572,1388.28
28-Apr-08,39565,1413.90
21-Apr-08,39558,1397.84
14-Apr-08,39551,1390.33
7-Apr-08,39544,1332.83
31-Mar-08,39537,1370.40
24-Mar-08,39530,1315.22
17-Mar-08,39523,1329.51
10-Mar-08,39516,1288.14
3-Mar-08,39509,1293.37
25-Feb-08,39502,1330.63
18-Feb-08,39495,1353.11
11-Feb-08,39488,1349.99
4-Feb-08,39481,1331.29
28-Jan-08,39474,1395.42
21-Jan-08,39467,1330.61
14-Jan-08,39460,1325.19
7-Jan-08,39453,1401.02
31-Dec-07,39446,1411.63
24-Dec-07,39439,1478.49
17-Dec-07,39432,1484.46
10-Dec-07,39425,1467.95
3-Dec-07,39418,1504.66
26-Nov-07,39411,1481.14
19-Nov-07,39404,1440.70
12-Nov-07,39397,1458.74
5-Nov-07,39390,1453.70
29-Oct-07,39383,1509.65
22-Oct-07,39376,1535.28
15-Oct-07,39369,1500.63
8-Oct-07,39362,1561.80
1-Oct-07,39355,1557.59
24-Sep-07,39348,1526.75
17-Sep-07,39341,1525.75
10-Sep-07,39334,1484.25
3-Sep-07,39327,1453.55
27-Aug-07,39320,1473.99
20-Aug-07,39313,1479.37
13-Aug-07,39306,1445.94
6-Aug-07,39299,1453.64
30-Jul-07,39292,1433.06
23-Jul-07,39285,1458.95
16-Jul-07,39278,1534.10
9-Jul-07,39271,1552.50
2-Jul-07,39264,1530.44
25-Jun-07,39257,1503.35
18-Jun-07,39250,1502.56
11-Jun-07,39243,1532.91
4-Jun-07,39236,1507.67
28-May-07,39229,1536.34
21-May-07,39222,1515.73
14-May-07,39215,1522.75
7-May-07,39208,1505.85
30-Apr-07,39201,1505.62
23-Apr-07,39194,1494.07
16-Apr-07,39187,1484.35
9-Apr-07,39180,1452.85
2-Apr-07,39173,1443.76
26-Mar-07,39166,1420.86
19-Mar-07,39159,1436.11
12-Mar-07,39152,1386.95
5-Mar-07,39145,1402.84
26-Feb-07,39138,1387.17
19-Feb-07,39131,1451.19
12-Feb-07,39124,1455.54
5-Feb-07,39117,1438.06
29-Jan-07,39110,1448.39
22-Jan-07,39103,1422.18
15-Jan-07,39096,1430.50
8-Jan-07,39089,1430.73
1-Jan-07,39082,1409.71
